attribute_value,year,price_per_sqm,attribute_type
１Ｋ,2015,440000.0,間取り
１Ｋ,2017,545000.0,間取り
１Ｋ,2018,547500.0,間取り
１Ｋ,2020,690000.0,間取り
１Ｋ,2021,630000.0,間取り
１Ｋ,2022,775000.0,間取り
１Ｋ,2023,800000.0,間取り
１Ｋ,2024,1060000.0,間取り
１Ｋ,2025,900000.0,間取り
２ＬＤＫ,2014,300000.0,間取り
２ＬＤＫ,2015,291558.44155844155,間取り
２ＬＤＫ,2016,300000.0,間取り
２ＬＤＫ,2017,338461.53846153844,間取り
２ＬＤＫ,2018,369230.76923076925,間取り
２ＬＤＫ,2019,240404.0404040404,間取り
２ＬＤＫ,2020,283333.3333333333,間取り
２ＬＤＫ,2021,400000.0,間取り
２ＬＤＫ,2022,485096.1538461539,間取り
２ＬＤＫ,2023,433333.3333333334,間取り
２ＬＤＫ,2024,400000.0,間取り
２ＬＤＫ,2025,400000.0,間取り
３ＬＤＫ,2014,269230.76923076925,間取り
３ＬＤＫ,2015,273626.37362637365,間取り
３ＬＤＫ,2016,333333.3333333333,間取り
３ＬＤＫ,2017,337619.04761904763,間取り
３ＬＤＫ,2018,344761.90476190473,間取り
３ＬＤＫ,2019,373333.3333333333,間取り
３ＬＤＫ,2020,370909.09090909094,間取り
３ＬＤＫ,2021,387083.3333333334,間取り
３ＬＤＫ,2022,386666.6666666667,間取り
３ＬＤＫ,2023,400000.0,間取り
３ＬＤＫ,2024,400000.0,間取り
３ＬＤＫ,2025,533333.3333333334,間取り
４ＬＤＫ,2014,346666.6666666667,間取り
４ＬＤＫ,2015,200000.0,間取り
４ＬＤＫ,2016,413333.3333333334,間取り
４ＬＤＫ,2017,341666.6666666666,間取り
４ＬＤＫ,2018,370000.0,間取り
４ＬＤＫ,2019,346500.0,間取り
４ＬＤＫ,2020,394736.84210526315,間取り
４ＬＤＫ,2021,326838.23529411765,間取り
４ＬＤＫ,2022,362500.0,間取り
４ＬＤＫ,2023,300000.0,間取り
４ＬＤＫ,2024,378947.36842105264,間取り
４ＬＤＫ,2025,423529.4117647059,間取り
駅徒歩10分以内（駅チカ）,2014,300000.0,駅距離
駅徒歩10分以内（駅チカ）,2015,289523.8095238095,駅距離
駅徒歩10分以内（駅チカ）,2016,335897.4358974359,駅距離
駅徒歩10分以内（駅チカ）,2017,348333.3333333334,駅距離
駅徒歩10分以内（駅チカ）,2018,352941.17647058825,駅距離
駅徒歩10分以内（駅チカ）,2019,347727.2727272727,駅距離
駅徒歩10分以内（駅チカ）,2020,356923.07692307694,駅距離
駅徒歩10分以内（駅チカ）,2021,385714.28571428574,駅距離
駅徒歩10分以内（駅チカ）,2022,423529.4117647059,駅距離
