date,price_per_sqm,group
2014-01-01,250195.8197936353,鶴見区
2014-04-01,259806.83551494745,鶴見区
2014-07-01,269459.47404650867,鶴見区
2014-10-01,279095.276837721,鶴見区
2015-01-01,287995.9947672869,鶴見区
2015-04-01,298410.89099102665,鶴見区
2015-07-01,310667.69817838806,鶴見区
2015-10-01,321071.40640851716,鶴見区
2016-01-01,330474.77987167944,鶴見区
2016-04-01,337505.14755298354,鶴見区
2016-07-01,338246.0945263638,鶴見区
2016-10-01,335471.6227104892,鶴見区
2017-01-01,334170.2728345133,鶴見区
2017-04-01,330550.672945789,鶴見区
2017-07-01,329818.6023087782,鶴見区
2017-10-01,333909.27188632666,鶴見区
2018-01-01,334848.37988521386,鶴見区
2018-04-01,335495.94449162815,鶴見区
2018-07-01,337376.1494931054,鶴見区
2018-10-01,336757.0399661012,鶴見区
2019-01-01,338628.9989298109,鶴見区
2019-04-01,345660.92627192516,鶴見区
2019-07-01,350757.4128307528,鶴見区
2019-10-01,352246.65481753176,鶴見区
2020-01-01,352824.87825747055,鶴見区
2020-04-01,351778.9747170329,鶴見区
2020-07-01,353099.2145021748,鶴見区
2020-10-01,361125.9183478503,鶴見区
2021-01-01,375278.1446349522,鶴見区
2021-04-01,390776.56348131486,鶴見区
2021-07-01,405221.13881770475,鶴見区
2021-10-01,418071.90187988034,鶴見区
2022-01-01,422805.07330464973,鶴見区
2022-04-01,420521.06403322524,鶴見区
2022-07-01,417718.87150802324,鶴見区
2022-10-01,411381.7750480921,鶴見区
2023-01-01,401893.0005319229,鶴見区
2023-04-01,398555.5010600077,鶴見区
2023-07-01,397799.09534067725,鶴見区
2023-10-01,397304.5471671247,鶴見区
2024-01-01,407340.863605937,鶴見区
2024-04-01,421438.014601183,鶴見区
2024-07-01,433497.37795214955,鶴見区
2024-10-01,446019.9318593078,鶴見区
2025-01-01,446807.6119933808,鶴見区
2025-04-01,446501.87550941523,鶴見区
2025-07-01,445269.78911576374,鶴見区
2025-10-01,442795.4356646671,鶴見区
