業種,施設名称,施設所在地,緯度,経度
特区民泊,ＥＨ－ＫＯＢＡＩ０６,大阪府大阪市北区紅梅町５番１６号ＥＨ－ＫＯＢＡＩ０６　３０１・４０２・５０２号室,34.69975158,135.5141689
特区民泊,ＥＨ－ＫＯＢＡＩ０６　３０２,大阪府大阪市北区紅梅町５番１６号ＥＨ－ＫＯＢＡＩ０６　３０２,34.69975158,135.5141689
特区民泊,Ｔｈｅ　Ｒｏｏｆｔｏｐ,大阪府大阪市北区国分寺１丁目７番８号ボナール国分寺　３階３－Ｃ号室　４階４－Ｂ号室　５階５－Ｂ、５－Ｃ号室　６、７階,34.71034886,135.5132362
特区民泊,初心之屋９号館,大阪府大阪市北区国分寺２丁目２番４１号,34.71107222,135.5134241
特区民泊,ＢＬＵＥ　ＢＥＡＲ　ＧＡＲＤＥＮ,大阪府大阪市北区国分寺２丁目２番４１号,34.71107222,135.5134241
特区民泊,辰巳屋,大阪府大阪市北区国分寺２丁目２番４１号,34.71107222,135.5134241
旅館業,若月,大阪府大阪市北区国分寺２丁目２番４３号１階,34.71098545,135.513388
特区民泊,ＷＡＫＡＴＳＵＫＩ,大阪府大阪市北区国分寺２丁目２番４３号２～５階,34.71098545,135.513388
特区民泊,初心之屋７号館,大阪府大阪市北区国分寺２丁目３番３０号,34.71238096,135.5125088
特区民泊,Ｙｏｕ　ｈｏｕｓｅ　天六,大阪府大阪市北区国分寺２丁目３番３３号,34.71233079,135.5128544
特区民泊,ドングリヴィラ天神橋,大阪府大阪市北区国分寺２丁目３番３４号,34.71219816,135.5128708
特区民泊,ｇｏｏｄ　ｔｉｍｅ　ｏｓａｋａ　天六,大阪府大阪市北区国分寺２丁目３番３４号,34.71219816,135.5128708
特区民泊,Ｚｅｂｒａｈｏｕｓｅ　Ｔｅｎｒｏｋｕ,大阪府大阪市北区国分寺２丁目３番３８号,34.71195753,135.5132139
特区民泊,ＭＡＴＡＴＡＢＩ　ＳＴＡＹ　天六ｗ８,大阪府大阪市北区国分寺２丁目３番３８号,34.71195753,135.5132139
特区民泊,グリーンヴィラ黒崎,大阪府大阪市北区黒崎町１０番１１号　２階,34.70783022,135.5073672
特区民泊,黒崎ハウス,大阪府大阪市北区黒崎町１１番１２号,34.70792923,135.5084819
特区民泊,Ｅｌｉｚａｂｅｔｈ　Ｇａｒｄｅｎ　Ｋｕｒｏｓａｋｉ,大阪府大阪市北区黒崎町１１番１２号,34.70792923,135.5084819
特区民泊,ＫＵＲＯＳＡＫＩ　Ｏｓａｋａ　Ｒｅｊｏｉｃｅ　Ｓｔａｙ,大阪府大阪市北区黒崎町１１番２号,34.70778393,135.5088468
特区民泊,ＵＭＥＤＡ　ＧＲＡＣＥ　ＨＯＵＳＥ,大阪府大阪市北区黒崎町１４番１３号,34.7080889,135.5074518
住宅宿泊事業,ー,大阪府大阪市北区黒崎町２－２ファミール浪速２０３,34.70654754,135.5089719
住宅宿泊事業,ー,大阪府大阪市北区黒崎町２－２ファミール浪速４０２,34.70654754,135.5089719
特区民泊,Ｏｓａｋａ　Ｐｒｅｍｉｕｍ　Ｓｔａｙ　Ｔｅｎｍａ,大阪府大阪市北区黒崎町２番２号ファミール浪速２０３・４０２,34.70654754,135.5089719
特区民泊,ソーズホテル中崎町,大阪府大阪市北区黒崎町２番２号ファミール浪速３０３,34.70654754,135.5089719
特区民泊,レジデンシャルホテル　ファミール浪速５０１（ＲＥＳＩＤＥＮＴＩＡＬ　ＨＯＴＥＬ　Ｆａｍｉｌ　ＮＡＮＩＷＡ５０１）,大阪府大阪市北区黒崎町２番２号ファミール浪速５０１,34.70654754,135.5089719
特区民泊,ＮＥＳＴ　ＨＯＵＳＥ　（ネストハウス）,大阪府大阪市北区黒崎町３番２３号２階部分　全号、１階一部,34.70731996,135.5078059
特区民泊,和邸　若葉,大阪府大阪市北区黒崎町４番１３号,34.70740272,135.5082436
特区民泊,Ｍａｘ　Ｈｏｍｅｓｔａｙ,大阪府大阪市北区黒崎町５番２号,34.70683551,135.5088807
特区民泊,Ｕｒｂａｎ　Ａｐａｒｔｍｅｎｔ　Ｔｅｍｍａ,大阪府大阪市北区黒崎町６番１号,34.70689725,135.5093799
特区民泊,ビビンハウス黒崎町,大阪府大阪市北区黒崎町６番２０号スエヒロエステート黒崎６,34.70733231,135.5095761
特区民泊,ｎｉｄ　Ｏｓａｋａ　Ｋｕｒｏｓａｋｉ,大阪府大阪市北区黒崎町８番６号２Ｆ、３Ｆ,34.70749191,135.5084585
特区民泊,Ｓｔａｒ　Ｈｏｕｓｅ,大阪府大阪市北区山崎町１番１２号ラピタ扇町　２０２、３０１、３０２、４０２、５０１,34.70604502,135.5097227
旅館業,天然温泉ホテルリブマックスプレミアム梅田ＥＡＳＴ,大阪府大阪市北区山崎町４番１６号,34.70618143,135.5074329
特区民泊,?潜の宿,大阪府大阪市北区山崎町４番１号,34.70613162,135.508947
特区民泊,ｎｉｄ　Ｏｓａｋａ　Ｔｅｎｍａ,大阪府大阪市北区山崎町４番４号,34.70619406,135.5086064
旅館業,フォーポイント　フレックス　ｂｙ　シェラトン　大阪梅田,大阪府大阪市北区芝田１丁目１０番３号,34.70744853,135.4972738
旅館業,新阪急ホテルアネックス,大阪府大阪市北区芝田１丁目８番１号,34.70659838,135.4976338
旅館業,ホテルランドマーク梅田,大阪府大阪市北区芝田２丁目３番２２号ホテルランドマーク梅田,34.70535114,135.4958116
旅館業,ホテルヴィスキオ大阪,大阪府大阪市北区芝田２丁目４番１０号,34.7061435,135.4951357
旅館業,ヴィアイン梅田,大阪府大阪市北区小松原町１番２０号ヴィアイン梅田,34.70254234,135.5012423
旅館業,イビス大阪梅田,大阪府大阪市北区小松原町１番５号,34.70215942,135.5010556
住宅宿泊事業,ー,大阪府大阪市北区松ヶ枝町４－２０アビスビル２０１・３０１・４０１・５０１・６０１,34.69899856,135.5164057
