区名,外国人男,外国人女,計,外国人を含む世帯数
北区,1974,2295,4269,3265
都島区,1280,1377,2657,1972
福島区,553,706,1259,955
此花区,702,836,1538,1065
中央区,3003,4395,7398,5827
西区,1564,1792,3356,2679
港区,1167,1143,2310,1663
大正区,592,640,1232,914
天王寺区,1721,2178,3899,2696
浪速区,2973,3306,6279,4939
西淀川区,1505,1587,3092,2045
淀川区,2487,2913,5400,4102
東淀川区,2713,3040,5753,4322
東成区,3084,3574,6658,4305
生野区,12974,14500,27474,16851
旭区,981,1015,1996,1496
城東区,2222,2541,4763,3488
鶴見区,878,1007,1885,1299
阿倍野区,1141,1186,2327,1784
住之江区,1357,1622,2979,2113
住吉区,1595,1754,3349,2399
東住吉区,1456,1528,2984,2186
平野区,3675,3975,7650,4953
西成区,3515,3177,6692,5003
合計,55112,62087,117199,82321
