区名,外国人男,外国人女,計,外国人を含む世帯数,
北区,2501,2764,5265,4059,
都島区,1514,1504,3018,2353,
福島区,631,747,1378,1068,
此花区,935,1025,1960,1480,
中央区,3265,4697,7962,6353,
西区,2088,2267,4355,3506,
港区,1434,1352,2786,2094,
大正区,734,704,1438,1073,
天王寺区,1968,2457,4425,3136,
浪速区,3854,4316,8170,6553,
西淀川区,1815,1805,3620,2547,
淀川区,3068,3341,6409,5015,
東淀川区,3243,3390,6633,5272,
東成区,3317,3794,7111,4981,
生野区,13117,14476,27593,18263,
旭区,1054,1079,2133,1662,
城東区,2482,2783,5265,3985,
鶴見区,925,1021,1946,1386,
阿倍野区,1401,1461,2862,2310,
住之江区,1626,1870,3496,2575,
住吉区,2009,2103,4112,3050,
東住吉区,1650,1793,3443,2640,
平野区,3912,4101,8013,5443,
西成区,4570,3986,8556,6782,
合計,63113,68836,131949,97586,
