区名,外国人男,外国人女,計,外国人を含む世帯数
北区,2769,2968,5737,4400
都島区,1726,1662,3388,2648
福島区,795,867,1662,1280
此花区,1027,1034,2061,1614
中央区,3820,4963,8783,7016
西区,2253,2409,4662,3771
港区,1636,1593,3229,2499
大正区,1003,801,1804,1407
天王寺区,2150,2496,4646,3265
浪速区,4474,4725,9199,7467
西淀川区,2407,2178,4585,3398
淀川区,3629,3770,7399,5990
東淀川区,3592,3474,7066,5711
東成区,3358,3745,7103,5162
生野区,13102,14358,27460,18866
旭区,1085,1208,2293,1807
城東区,2524,2749,5273,4042
鶴見区,1025,1093,2118,1572
阿倍野区,1646,1618,3264,2519
住之江区,2056,2247,4303,3298
住吉区,2171,2369,4540,3451
東住吉区,1914,1898,3812,2908
平野区,4142,4239,8381,5922
西成区,5327,4900,10227,8259
合計,69631,73364,142995,108272
