区名,外国人男,外国人女,計,外国人を含む世帯数
北区,2876,3052,5928,4495
都島区,1741,1746,3487,2725
福島区,829,967,1796,1370
此花区,1204,1156,2360,1857
中央区,4196,5154,9350,7523
西区,2511,2428,4939,4009
港区,1654,1829,3483,2698
大正区,1069,850,1919,1481
天王寺区,2330,2700,5030,3522
浪速区,4973,5037,10010,8103
西淀川区,2623,2290,4913,3660
淀川区,3769,4068,7837,6348
東淀川区,3672,3612,7284,5891
東成区,3459,3841,7300,5408
生野区,13278,14116,27394,19199
旭区,1187,1188,2375,1882
城東区,2474,2692,5166,3981
鶴見区,1024,1083,2107,1587
阿倍野区,1766,1841,3607,2711
住之江区,2223,2338,4561,3430
住吉区,2351,2607,4958,3827
東住吉区,2137,2130,4267,3296
平野区,4278,4351,8629,6229
西成区,6127,5569,11696,9420
合計,73751,76645,150396,114652
