区名,外国人男,外国人女,外国人を含む世帯数
大阪府大阪市北区,4660,4752,7064
大阪府大阪市都島区,2819,2834,4436
大阪府大阪市福島区,1367,1411,2179
大阪府大阪市此花区,1832,1663,2580
大阪府大阪市中央区,6549,7122,10364
大阪府大阪市西区,4286,4228,6758
大阪府大阪市港区,2996,2837,4466
大阪府大阪市大正区,1751,1420,2442
大阪府大阪市天王寺区,3417,3817,4860
大阪府大阪市浪速区,7382,7192,11730
大阪府大阪市西淀川区,3851,3397,5499
大阪府大阪市淀川区,6043,6212,9730
大阪府大阪市東淀川区,5424,5261,8637
大阪府大阪市東成区,4470,4927,7212
大阪府大阪市生野区,15189,16022,22543
大阪府大阪市旭区,1801,1659,2781
大阪府大阪市城東区,3728,3960,5897
大阪府大阪市鶴見区,1386,1329,2046
大阪府大阪市阿倍野区,2960,3102,4444
大阪府大阪市住之江区,3819,3913,5655
大阪府大阪市住吉区,3612,3796,5627
大阪府大阪市東住吉区,3600,3736,5454
大阪府大阪市平野区,5444,5292,7757
大阪府大阪市西成区,8954,8026,13294
