nearest_station,latitude,longitude,distance_to_yumeshima_km
都島,34.7089068,135.5260292,14.00316660495732
京橋(大阪),34.6960502,135.5341723,14.110549405706346
野江内代,34.7092635,135.5384355,15.039480860527576
桜ノ宮,34.704987,135.5206103,13.365005725204488
野田阪神,34.6942884,135.4748237,9.11933450463116
福島(ＪＲ西日本),34.6971596,135.4866504,10.213375663163712
福島(阪神),34.7006318,135.4994685,11.42545821493194
安治川口,34.6737265,135.4440976,5.553492102953428
阿波座,34.6812812,135.4865434,9.456496400288998
本町,34.6820067,135.4988295,10.542722202640936
四ツ橋,34.674135,135.496727,10.110471353134848
肥後橋,34.691661,135.496227,10.715639917480829
ドーム前千代崎,34.6704407,135.4783954,8.384546121381652
西長堀,34.6752108,135.4871747,9.299174345858654
弁天町,34.6701578,135.4619871,6.931525804355026
大阪上本町,34.6655536,135.5207379,12.093140277777888
恵美須町,34.65563059999999,135.5056361,10.623066227647842
桜川(大阪),34.6664654,135.4880763,9.155585043922065
大国町,34.6559111,135.4978446,9.912431424089
千船,34.7123875,135.4452797,8.452781397778404
新大阪,34.6413315,135.5629394,15.898897819929225
今里(大阪メトロ),34.6689903,135.5429092,14.153391404485513
鶴橋,34.6652458,135.530318,12.958727484714911
深江橋,34.679015,135.5580041,15.698449340801185
新深江,34.6681193,135.5530124,15.057449288679766
北巽,34.65294069999999,135.5549864,15.129016509968965
城北公園通,34.7235075,135.5306364,15.1669327787431
千林大宮,34.7237691,135.5491039,16.640326165959888
太子橋今市,34.7311527,135.5545727,17.479882406817406
関目高殿,34.7151067,135.5456176,15.9128075594664
森小路,34.7194481,135.5516198,16.619429955688425
鴫野,34.692823,135.5455604,14.97755742794613
新森古市,34.7151253,135.5588526,17.00704473083122
阿倍野,34.642719,135.5120601,11.247084944137631
北畠,34.62720060000001,135.5053425,10.934105286988
東天下茶屋,34.6328589,135.5086891,11.094637794668456
昭和町(大阪),34.6288421,135.5175357,11.977433055815483
我孫子町,34.6020636,135.5067011,12.053371913927789
あびこ,34.5988401,135.5127691,12.711451635498127
西中島南方,34.726407,135.4985862,12.972777698560074
十三,34.720213,135.48206,11.37981104597781
三国(大阪),34.7374801,135.4830261,12.803269399943604
神崎川,34.7321909,135.473216,11.770189289464687
今福鶴見,34.7020223,135.560165,16.570494175169923
放出,34.6880447,135.5630483,16.368960495882362
平野(大阪メトロ),34.6209276,135.5488246,14.964255992506482
天満,34.7048863,135.5122191,12.676540524710562
扇町(大阪),34.7040121,135.5092852,12.394003567806156
大阪天満宮,34.6973863,135.5125263,12.33570900866485
天神橋筋六丁目,34.7109629,135.5107797,12.891806248251578
中崎町,34.7067988,135.5051143,12.210847777073624
中津(大阪メトロ),34.7122972,135.4898433,11.375978125014502
東梅田,34.7008464,135.4995689,11.44489409358748
谷町六丁目,34.675053,135.5170218,11.93978015600458
北浜(大阪),34.69199589999999,135.5030983,11.305160775233418
松屋町,34.675552,135.5125589,11.55428651628399
日本橋(大阪),34.6659522,135.5075174,10.901193788392856
谷町四丁目,34.6821069,135.5172527,12.154288796303456
森ノ宮,34.6817307,135.5333561,13.564776303176815
ユニバーサルシティ,34.6679962,135.4385969,4.833862606306434
西九条,34.6821426,135.4661491,7.776142605619323
九条(大阪メトロ),34.6760962,135.4727646,8.075382789839466
桃谷,34.6584154,135.5279193,12.674089487748606
玉造(ＪＲ),34.6765279,135.5293247,13.073890201850864
寺田町,34.6477776,135.52342,12.249171063277844
四天王寺前夕陽ケ丘,34.65831000000001,135.514163,11.4174985181094
谷町九丁目,34.6665236,135.5152679,11.611822461642888
なんば(大阪メトロ),34.6657531,135.5010362,10.31168508762021
芦原橋,34.6591371,135.4888992,9.12048834229309
上新庄,34.7503307,135.5330233,17.09317980079409
ＪＲ淡路,34.7406994,135.5198264,15.481292652788149
大阪城公園,34.6885789,135.534485,13.870045626082147
蒲生四丁目,34.7003802,135.5462581,15.314118997121668
野江,34.7071967,135.5431008,15.332835854553892
大阪阿部野橋,34.6454938,135.5150557,11.49720008929008
沢ノ町,34.6057283,135.4970619,11.082588772097989
北田辺,34.6323861,135.5288022,12.914850994264167
塚本,34.7126028,135.4688636,9.918824749042567
東三国,34.7410955,135.4985094,14.06896067983452
徳庵,34.6924404,135.5813418,18.110461263450304
ポートタウン西,34.6308426,135.4227823,3.821025906016657
ポートタウン東,34.6309079,135.4291444,4.2941081509604375
平野(ＪＲ),34.6308333,135.5516791,15.00843256772346
南森町,34.697549,135.510864,12.204876668367406
中之島,34.69110620000001,135.4870336,9.9293225570718
